Game Name,Abbreviation,Category,Game Operator,Active player,Income (app store)  (Million dollars),Percentage player that are GZ,Number_GZ player,TIGZ,Count
Honor of Kings,wzry,MOBA,Tencent,6.7,248.1,0.416473992,2.79,2.3,5
Mobile League of legends,mlol,MOBA,Tencent,1.1,57.3,0.514710543,0.57,2.84,5
Onimoji Arena,mjzpaj,MOBA,NetEase,0.1,0.5,0.57282791,0.06,3.16,5
Genshin_Impact,impact,RPG,MiHoYo,2,102.1,0.639454297,1.28,3.53,2
Honkai_Impact_3,mbh3,RPG,MiHoYo,0.09,4,0.305146706,0.03,1.68,2
Princess_Connect,mgzlj,RPG,Cygames,0.009,0.39,0.432556079,0,2.39,2
Mobile_Crossfire,mcf,FPS,Tencent,0.43,26.2,0.452906074,0.19,2.5,3
Mobile_PUBG,mpubg,FPS,Tencent,3.5,167.5,0.571005017,2,3.15,3
Ace_Force,mwpzs,FPS,Tencent,0.044,0.27,0.613547058,0.03,3.39,3
Clash_Royale,mhszz,RTS,Supercell,1.7,11.9,0.397345953,0.68,2.19,4
Clash_of_Clans,mblct,RTS,Supercell,1.8,14.5,0.492267854,0.89,2.72,4
Carrot_Fantasy_3,mbwlb,RTS,Feiyu,0.72,0.069,0.528413098,0.38,2.92,4
Onmyoji,myys,TBRGB,NetEase,0.082,11.9,0.581181292,0.05,3.21,1
Fantasy_Westward_Journey,mmhxy,TBRGB,NetEase,0.119,116.7,0.525869732,0.06,2.9,1
Hearthstone,mlscs,TBRGB,Blizard,0.078,3.6,0.654417542,0.05,3.61,1
